Example	Rank
1	1,3,2
2	3,1,2
3	2,1,3
4	2,3,1
5	2,3,1
6	1,3,2
7	2,1,3
8	3,1,2
9	1,2,3
10	1,2,3
11	1,2,3
12	1,2,3
13	2,1,3
14	2,1,3
15	1,2,3
16	1,3,2
17	3,1,2
18	2,1,3
19	2,1,3
20	1,2,3
21	1,2,3
22	3,1,2
23	2,1,3
24	1,2,3
25	1,3,2
26	1,2,3
27	1,2,3
28	2,1,3
29	3,2,1
30	1,3,2
31	2,1,3
32	2,3,1
33	3,1,2
34	2,3,1
35	1,2,3
36	1,2,3
37	2,1,3
38	2,3,1
39	2,1,3
40	1,2,3
41	1,3,2
42	1,3,2
43	2,3,1
44	2,1,3
45	2,1,3
46	3,1,2
47	2,3,1
48	1,3,2
49	1,2,3
50	2,1,3